ARQU 1010,PORTAFOLIO REQUISITO DE GRADO
MATE 1253,CALCULO 3 Y ALGEBRA LINEAL 1
MBIO 2307,VIROLOGIA-LAB
ECON 2102,MICROECONOMIA 3
MEDI 3443,PALS / REANIMACION PEDIATRICA
IMEC 1503C,COMPL.DISE�O GR�FICO INGEN
IMEC 2700,PROYECTO INTERMEDIO
PSCL 4105,PR�CTICA CL�NICA SUPERVISADA I
ANTR 3187,TRABAJO DIRIG EN ANTR VISUAL
ANTR 3992,PRACTICA PROFESIONAL
ISIS 1205,ALGORITMICA Y PROGR. OBJ. II
DISE 3150,ESTUDIO 7: BIODESIGN CHALLENGE
ICYA 4808,GESTION DE SISTEMAS DE TRAFICO
ARTI 4108,POWER PEOPLE
MISO 4302,TESIS I
MUSI 3501,ORQUESTACION 2
MUSI 3603,AUDIO DIGITAL
ECON 2204,MEDICION Y CONTABILIDAD
ECON 3761,SEM AN�LISIS CONFLICTO ARMADO
ICYA 3406,MODELACION AMBIENTAL
ADMI 2302,INVESTIGACION DE MERCADOS
BIOL 3201,GENETICA EVOLUTIVA-LAB
MECA 4202,REGULACI�N ECON�MICA
MEDI 3114,ETICA MEDICA Y PROFESIONA. II
DISE 3131,ESTUDIO 7: SOSTENIBILIDAD
ICYA 3702,RESIDUOS SOLIDOS
ANTR 3177,SEM. ELECTIVO HOMOLOGADO 1
EDUC 4028,SEMINARIO INVESTIGACI�N-ACCI�N
ADMI 3615,MERCADEO DEPORTIVO
MUSI 2613,TECNOLOG�A DEL AUDIO 1
ANTR 4225,TRABAJO DE GRADO
MUSI 3302,DIRECCION CORAL 5
ECON 3732,MICROECONOMETRIA FINANCIERA
MISO 4206,ARQUITECTURA SW �GIL
ADMI 2107,GERENCIA DE RECURSOS HUMANOS
FISI 3010,MECANICA CUANTICA I
ADMI 2205,FINANZAS 3: ESTRATEGIA
CPOL 2417,TEORIA CONTEMP POLITICA Y SOC
MUSI 3618,TALLER DE MEZCLA
LENG 3238,PROBL�MATIQUE INTERCULTURELLE
MBIT 4302,TESIS 1
IELE 1502,SISTEMAS DIN�MICOS
IMEC 1410L,LABORAT.DE CIENCIA MATERIALES
IQUI 3320L,LAB.INTR..TECN.LENGUAJ.PERFUM.
MBIO 3602,MICROBIOLOGIA DE ALIMENTOS-TEO
MEDI 3542,INTERNADO SELECTIVO HOS. CL. 3
BIOL 3346,LIMNOLOGIA APLICADA
FISI 1029,FISICA EXPERIMENTAL II
MEDI 3434,TURNOS CLINICOS III
FISI 4702,SEMINARIO 2 MATERIA CONDENSADA
ICYA 4709,AN�LISIS DE HIDROSISTEMAS
MBIO 3919,TRABAJO DE GRADO
ECON 3635,TEOR.FINANZAS PARA ECONOMISTAS
ARQU 2430,TEORIAS URBANAS
IQUI 3042,TALLER DE OPTIMIZACION
ICYA 4212,PROPUESTA TESIS MICIV
ECON 3762,ECONOM�A POL�TICA DE G�NERO
FISI 1023,LABORATORIO DE FISICA BASICA 2
BIOL 3324,BIOLOGIA DE LA CONSERVACION
IQUI 1002,LAB. INTRODUCCION ING. QUIMICA
FISI 6976,PASANTIA V
MUSI 2811,CANTO 5
FILO 2130,NIETZSCHE
MSIN 4303,TESIS II
FISI 3816,BIOLOGIA SINTETICA
DERE 3802,CONSULTORIO JURIDICO II
IBIO 2250,FEN�MENOS DE TRANSPORTE BIOL�G
LENG 1120,EFFECTIVE SPEAKING
MUSI 2211,CONTRAPUNTO AVANZADO 2
IMEC 4701,TESIS 1
FISI 4010,MECANICA CUANTICA AVANZADA 1
IIND 4213,DISE�O DE EXPERIM. INGE.
MUSI 2208,CONTRAPUNTO 1
MEDI 3544,INTERNADO SELECTIVO SALUD P.3
FISI 6201,INVESTIGACION 1
IIND 2401,ANALIS.DECISION INVERSION
IMEC 2210,MECANICA FLUIDOS
IQUI 2200,DISE�O EXPERIM. ING QUIMIC
ANTR 3180,ELECTIVA EN ANTROPOLOGIA
MEDI 3533,INTERNADO SELECTIVO INVESTI. 1
MATE 4173,ALGEBRA ABSTRACTA 2
ANTR 2102,INSTRUMENTOS DE INVESTIGACION
LENG 2114,INGLES 4 - LENGUAS Y CULTURA
EDUC 6013,INVESTIGACION DOCTORAL
FISI 6974,PASANTIA III
MBIO 2306,VIROLOGIA-TEO
CPOL 3005,INVESTIGACION PROFESORAL
ICYA 4308,PRESUP. AN�LISIS CONTROL COSTO
ISIS 4004,TUTORIAL ESPECIAL
ICYA 3306,SISTEMAS DE TRANSPORTE
MUSI 2408,CONJUNTO CUERDAS
IIND 3218C,REFUERZO FUND. CALIDAD
MEDI 3523,MODULO SELECTIVO II INVESTI. 2
MBIT 4102,FINANZAS Y MERCADEO ESTRAT.
MSIN 4101,ING CRIPTOGRAFICA Y APLIC SERV
ECON 2104,EVAL. ECONOMICA DE PROYECTOS
QUIM 1102,LABORATORIO DE QUIMICA GENERAL
BIOL 3995,PROFUNDIZACION INVESTIGACION
ICYA 3408,TRATAMIENTO AGUAS RESIDUALES
CPOL 6523,LECTURAS DIRIGIDAS
LENG 2612,ITALIANO 6
IELE 3006,OPTIMIZACION
ECON 6986,INVESTIGACION TESIS DOCTORAL 7
ECON 4645,REGULACION Y COMPETENCIA
MATE 1204,CALCULO DIFERENCIAL (HONORES)
DISE 2607,TIPOGRAFIA EXPERIMENTAL
ISIS 2603L,LAB DLLO DE SW EN EQUIPO
IIND 4403,TEORIA DE LA DECISION
MUSI 2500,TALLER DE COMPOSICION 1
CPOL 3300,SEM POLITICA COLOMBIANA
MUSI 2807,TALLER L�RICO 3
IIND 2106,PROBABILIDAD Y ESTAD�STICA I
