course_code,name,program_id
DERE 3909,INVESTIGACION DIRIGIDA,35
ARQU 3859,ANALISIS UI INTERDISC COLOMBIA,22
DISE 3144,E6: DISE�O PARA EXPOSICIONES,16
EGOB 2101,M�TOD CUANTI PARA ASUNT PUB I,30
QUIM 2001,PRINCIPIOS DE LA QUIMICA,5
IIND 4002,TESIS 1,8
PSIC 3882,EMOCIONES MORALES,28
CBIO 4121,INMUNOLOGIA AVANZADA,17
MBIO 2501,INMUNOLOGIA-LAB,37
ARQU 1010,PORTAFOLIO REQUISITO DE GRADO,22
MATE 1253,CALCULO 3 Y ALGEBRA LINEAL 1,2
MBIO 2307,VIROLOGIA-LAB,37
ECON 2102,MICROECONOMIA 3,26
MEDI 3443,PALS / REANIMACION PEDIATRICA,15
IMEC 1503C,COMPL.DISE�O GR�FICO INGEN,21
IMEC 2700,PROYECTO INTERMEDIO,21
PSCL 4105,PR�CTICA CL�NICA SUPERVISADA I,38
ANTR 3187,TRABAJO DIRIG EN ANTR VISUAL,7
ANTR 3992,PRACTICA PROFESIONAL,7
ISIS 1205,ALGORITMICA Y PROGR. OBJ. II,19
DISE 3150,ESTUDIO 7: BIODESIGN CHALLENGE,16
ICYA 4808,GESTION DE SISTEMAS DE TRAFICO,4
ARTI 4108,POWER PEOPLE,39
MISO 4302,TESIS I,40
MUSI 3501,ORQUESTACION 2,10
MUSI 3603,AUDIO DIGITAL,10
ECON 2204,MEDICION Y CONTABILIDAD,26
ECON 3761,SEM AN�LISIS CONFLICTO ARMADO,26
ICYA 3406,MODELACION AMBIENTAL,4
ADMI 2302,INVESTIGACION DE MERCADOS,27
BIOL 3201,GENETICA EVOLUTIVA-LAB,41
MECA 4202,REGULACI�N ECON�MICA,42
MEDI 3114,ETICA MEDICA Y PROFESIONA. II,15
DISE 3131,ESTUDIO 7: SOSTENIBILIDAD,16
ICYA 3702,RESIDUOS SOLIDOS,4
ANTR 3177,SEM. ELECTIVO HOMOLOGADO 1,7
EDUC 4028,SEMINARIO INVESTIGACI�N-ACCI�N,11
ADMI 3615,MERCADEO DEPORTIVO,27
MUSI 2613,TECNOLOG�A DEL AUDIO 1,10
ANTR 4225,TRABAJO DE GRADO,7
MUSI 3302,DIRECCION CORAL 5,10
ECON 3732,MICROECONOMETRIA FINANCIERA,26
MISO 4206,ARQUITECTURA SW �GIL,40
ADMI 2107,GERENCIA DE RECURSOS HUMANOS,27
FISI 3010,MECANICA CUANTICA I,1
ADMI 2205,FINANZAS 3: ESTRATEGIA,27
CPOL 2417,TEORIA CONTEMP POLITICA Y SOC,13
MUSI 3618,TALLER DE MEZCLA,10
LENG 3238,PROBL�MATIQUE INTERCULTURELLE,33
MBIT 4302,TESIS 1,23
IELE 1502,SISTEMAS DIN�MICOS,3
IMEC 1410L,LABORAT.DE CIENCIA MATERIALES,21
IQUI 3320L,LAB.INTR..TECN.LENGUAJ.PERFUM.,9
MBIO 3602,MICROBIOLOGIA DE ALIMENTOS-TEO,37
MEDI 3542,INTERNADO SELECTIVO HOS. CL. 3,15
BIOL 3346,LIMNOLOGIA APLICADA,41
FISI 1029,FISICA EXPERIMENTAL II,1
MEDI 3434,TURNOS CLINICOS III,15
FISI 4702,SEMINARIO 2 MATERIA CONDENSADA,1
ICYA 4709,AN�LISIS DE HIDROSISTEMAS,4
MBIO 3919,TRABAJO DE GRADO,37
